,Date,Open,High,Low ,Close
Tu,11/2/2020,452.14,461.84,442.16,444.69
Mo,10/2/2020,446.02,462.28,436.97,452.14
,,,,,
Fr,7/2/2020,439.35,458.63,432.41,436.5
Th,6/2/2020,433.91,447.44,417.56,439.32
We,5/2/2020,377.34,437.42,377.32,433.89
Tu,4/2/2020,381.52,388.54,371.98,377.34
Mo,3/2/2020,383.09,390.37,374.01,381.47
,,,,,
Fr,31/1/2020,390.7,394.78,364.54,375.53
Th,30/1/2020,382.79,397.1,370.36,390.7
We,29/1/2020,368.85,394.74,367.84,382.79
Tu,28/1/2020,370.1,384.16,357.28,368.85
Mo,27/1/2020,345.47,376.39,340.76,370.1
,,0,,,
Fr,24/1/2020,323.98,327.09,298.18,320.74
Th,23/1/2020,345.19,349.03,317.59,323.98
We,22/1/2020,341.89,353.74,336.88,345.19
Tu,21/1/2020,351.84,352.05,334.22,341.89
Mo,20/1/2020,331.17,351.93,324.72,351.84
,,0,,,
Fr,17/1/2020,325.04,382.37,319.64,368.5
Th,16/1/2020,335.65,344.09,310.41,325.04
We,15/1/2020,325.19,367.36,313.08,335.65
Tu,14/1/2020,268.01,360.54,265.11,325.19
Mo,13/1/2020,265.1,272.93,260.32,268.01
,,0,,,
Fr,10/1/2020,235.15,267.62,231.94,258.46
Th,9/1/2020,235.66,243.93,231.45,235.16
We,8/1/2020,241.87,254.15,231.8,235.66
Tu,7/1/2020,237.2,247.01,232.59,241.87
Mo,6/1/2020,224.1,239.32,220.44,237.2
,,0,,,
Fr,3/1/2020,195.29,224.96,191.44,219.35
Th,2/1/2020,205.2,205.62,193.39,195.29
We,1/1/2020,203.84,208.44,202.61,205.2
Tu,31/12/2019,207.12,213.49,200.79,203.86
Mo,30/12/2019,213.13,215.37,205.43,207.07
,,0,,,
Fr,27/12/2019,188.05,203.18,184.7,200.37
Th,26/12/2019,186.62,195,184,188.01
We,25/12/2019,190.46,190.8,183.48,186.62
Tu,24/12/2019,192.41,192.48,185.89,190.46
Mo,23/12/2019,192.6,198.69,191.28,192.41
,,0,,,
Fr,20/12/2019,188.04,191.49,183.89,187.68
Th,19/12/2019,188.27,192.75,183.41,188.04
We,18/12/2019,178.77,191.15,171.65,188.27
Tu,17/12/2019,196.95,198.04,174.12,178.77
Mo,16/12/2019,206.63,208.36,195.45,196.95
,,0,,,
Fr,13/12/2019,207.23,213.54,204.92,211.74
Th,12/12/2019,206.73,208.8,204.05,207.14
We,11/12/2019,206.44,208.96,204.59,206.73
Tu,10/12/2019,208.91,209.92,204.57,206.44
Mo,9/12/2019,214.7,215.41,206.27,208.91
,,0,,,
Fr,6/12/2019,212.1,216.21,209.62,212.51
Th,5/12/2019,208.06,215.62,205.47,212.1
We,4/12/2019,214.46,220.15,203.99,208.06
Tu,3/12/2019,214.71,217.09,210.57,214.46
Mo,2/12/2019,214.58,217.55,209.77,214.71
,,0,,,
Fr,29/11/2019,220.93,227.6,216.52,225.15
Th,28/11/2019,220.99,223.3,216.4,220.93
We,27/11/2019,212.85,225.74,205.1,220.99
Tu,26/11/2019,210.92,215.68,207.65,212.82
Mo,25/11/2019,207.96,218.11,194,210.9
,,0,,,
Fr,22/11/2019,226.04,230.18,197.15,211.18
Th,21/11/2019,244.43,247.04,222.54,226.04
We,20/11/2019,241.65,248.82,237.17,244.43
Tu,19/11/2019,250.51,250.92,235.07,241.65
Mo,18/11/2019,268.86,271.53,242.82,250.51
,,0,,,
Fr,15/11/2019,277.18,279.5,261.3,264.52
Th,14/11/2019,283.28,287.54,273.61,277.18
We,13/11/2019,288.94,290.72,280.4,283.34
Tu,12/11/2019,289.37,292.41,282.62,288.94
Mo,11/11/2019,293.95,297.29,282.17,289.37
,,0,,,
