,Date,Open,High,Low ,Close
Tu,11/2/2020,9866.28,9892.6,9715.1,9736.08
Mo,10/2/2020,10097.14,10194.88,9749.77,9866.28
,,,,,
Fr,7/2/2020,9737.36,9868.16,9655.23,9744.46
Th,6/2/2020,9687.28,9854.47,9530.87,9737.36
We,5/2/2020,9139.82,9765.86,9129.78,9687.28
Tu,4/2/2020,9273.56,9346.65,9080.33,9139.77
Mo,3/2/2020,9434.77,9608.03,9222.94,9274.19
,,,,,
Fr,31/1/2020,9551.91,9562.55,9199.36,9354.31
Th,30/1/2020,9354.71,9565.13,9185.33,9552.18
We,29/1/2020,9042.56,9429.18,9039.15,9354.71
Tu,28/1/2020,8945.5,9182.67,8875.65,9042.56
Mo,27/1/2020,8557.37,8988.63,8530.2,8945.5
,,,,,
Fr,24/1/2020,8382.34,8509.75,8219.26,8497.52
Th,23/1/2020,8640.65,8664.36,8281,8382.87
We,22/1/2020,8721.88,8792.56,8572.53,8640.65
Tu,21/1/2020,8672.05,8771.31,8488.84,8721.88
Mo,20/1/2020,8645.08,8748.93,8494.51,8671.68
,,,,,
Fr,17/1/2020,8678.79,9007.25,8664.77,8906.32
Th,16/1/2020,8821.69,8859.88,8581.67,8678.79
We,15/1/2020,8736.2,8896.13,8555.67,8821.69
Tu,14/1/2020,8131.05,8854.1,8099.88,8736.15
Mo,13/1/2020,8095.69,8194,8044.76,8131.05
,,,,,
Fr,10/1/2020,7786.84,8131,7678.09,8043.69
Th,9/1/2020,8004.25,8108.37,7748.81,7786.84
We,8/1/2020,8021.36,8462.1,7874.8,8004.26
Tu,7/1/2020,7576.02,8192.21,7575.42,8021.36
Mo,6/1/2020,7462.59,7604.5,7317.78,7575.93
,,,,,
Fr,3/1/2020,6960.58,7400.72,6859.44,7269.82
Th,2/1/2020,7216.23,7246.71,6912.96,6960.58
We,1/1/2020,7158.22,7236.37,7151.89,7216.21
Tu,31/12/2019,7243.35,7299.86,7116.03,7158.27
Mo,30/12/2019,7397.66,7524.5,7203.33,7243.35
,,0,,,
Fr,27/12/2019,7189.08,7252.5,7068.11,7219.5
Th,26/12/2019,7211.27,7427.19,7168.47,7189.08
We,25/12/2019,7246.81,7267.58,7119.37,7211.27
Tu,24/12/2019,7319.77,7423.84,7161.52,7246.81
Mo,23/12/2019,7315.36,7689.15,7291.81,7319.77
,,0,,,
Fr,20/12/2019,7156.45,7221.23,7079.65,7198.73
Th,19/12/2019,7131.58,7442.87,7047.29,7157.05
We,18/12/2019,6616.45,7226.95,6436.5,7131.58
Tu,17/12/2019,6876.58,6948.58,6576.39,6616.45
Mo,16/12/2019,7100.29,7154.45,6831.45,6876.58
,,0,,,
Fr,13/12/2019,7200.62,7300.11,7181.03,7240.62
Th,12/12/2019,7191.95,7292.28,7083.38,7200.62
We,11/12/2019,7222.09,7279.42,7135.02,7191.95
Tu,10/12/2019,7356.78,7402.58,7167.63,7222.09
Mo,9/12/2019,7539.02,7654.01,7286.8,7356.78
,,0,,,
Fr,6/12/2019,7379.68,7603.99,7315.42,7469.48
Th,5/12/2019,7187.36,7489,7160.34,7379.65
We,4/12/2019,7329.86,7774.69,7091.84,7187.39
Tu,3/12/2019,7319.36,7412.88,7245.3,7329.85
Mo,2/12/2019,7323.54,7450.09,7166.4,7319.36
,,0,,,
Fr,29/11/2019,7564.94,7867.53,7376.53,7710.34
Th,28/11/2019,7550.07,7658.29,7425.95,7564.94
We,27/11/2019,7113.52,7672.95,6854.44,7550.07
Tu,26/11/2019,7214.3,7340.46,7028.03,7113.51
Mo,25/11/2019,7084.54,7374.58,6530.95,7214.3
,,0,,,
Fr,22/11/2019,7598.6,7713.49,6798.13,7343.85
Th,21/11/2019,8087.79,8125.45,7407.48,7598.7
We,20/11/2019,8107.8,8223.39,8031.28,8087.79
Tu,19/11/2019,8218.44,8253.37,8000.39,8108.09
Mo,18/11/2019,8547.21,8630.75,8033.09,8218.67
,,0,,,
Fr,15/11/2019,8651.15,8769.15,8380,8453.89
Th,14/11/2019,8753.02,8793.25,8563.25,8651.15
We,13/11/2019,8764.95,8838.18,8708.5,8753.01
Tu,12/11/2019,8736.17,8867.19,8567.15,8764.95
Mo,11/11/2019,9040.86,9099.87,8611.01,8736.17
,,0,,,
Fr,8/11/2019,9209.87,9271.86,8679.32,8866.55
Th,7/11/2019,9314.92,9372.21,9086.7,9209.87
We,6/11/2019,9357.06,9448.42,9258.9,9314.92
Tu,5/11/2019,9443.36,9481.71,9186.2,9357.06
Mo,4/11/2019,9163,9585.95,9080.13,9443.36
,,0,,,
Fr,1/11/2019,9189.42,9299.49,9054.7,9212.68
Th,31/10/2019,9184.99,9427.01,8960.83,9189.42
We,30/10/2019,9446.04,9472,9000.1,9184.99
Tu,29/10/2019,9456.3,9560.25,9085.16,9446.04
Mo,28/10/2019,9691.59,9933.83,9267.87,9456.3
,,0,,,
Fr,25/10/2019,7456.58,8784.13,7397.6,8574.4
Th,24/10/2019,7491.38,7510.74,7360.17,7456.59
We,23/10/2019,8125.1,8161.08,7305.45,7491.38
Tu,22/10/2019,8208.39,8313.89,8084.13,8125.1
Mo,21/10/2019,8151.83,8346.52,8143.47,8207.67
,,0,,,
Fr,18/10/2019,8046.49,8118.66,7829.7,7947.7
Th,17/10/2019,7988.24,8127.42,7940.91,8046.49
We,16/10/2019,8144.32,8187.83,7916.05,7988.24
Tu,15/10/2019,8343.42,8418.35,8096.59,8144.32
Mo,14/10/2019,8431.49,8451.85,8171.63,8343.42
,,0,,,
Fr,11/10/2019,8580.94,8810.81,8288.27,8342.92
Th,10/10/2019,8590.18,8660.73,8457.01,8580.86
We,9/10/2019,8129.51,8692.79,8120.4,8590.16
Tu,8/10/2019,8218.02,8344.3,8113.55,8130.26
Mo,7/10/2019,7999.8,8313.24,7770,8218.02
,,0,,,
Fr,4/10/2019,8161.33,8297.11,8029.15,8170.58
Th,3/10/2019,8235.09,8418.12,8091.34,8161.33
