<<<<<<< HEAD
,Date,Open,High,Low ,Close
Tu,11/2/2020,0.2739,0.2749,0.2683,0.2689
Mo,10/2/2020,0.2814,0.2844,0.2674,0.2739
,,0,,,
Fr,7/2/2020,0.2829,0.2877,0.2774,0.2775
Th,6/2/2020,0.2781,0.2879,0.2686,0.2829
We,5/2/2020,0.2651,0.2819,0.2634,0.2781
Tu,4/2/2020,0.2514,0.2704,0.2474,0.2651
Mo,3/2/2020,0.2539,0.2594,0.2468,0.2514
,,0,,,
Fr,31/1/2020,0.2439,0.2463,0.2337,0.2389
Th,30/1/2020,0.237,0.245,0.2306,0.2439
We,29/1/2020,0.2358,0.2419,0.2341,0.237
Tu,28/1/2020,0.2329,0.2415,0.2297,0.2358
Mo,27/1/2020,0.227,0.2336,0.2253,0.233
,,0,,,
Fr,24/1/2020,0.2253,0.2272,0.2137,0.2234
Th,23/1/2020,0.2355,0.2375,0.2209,0.2253
We,22/1/2020,0.2377,0.2396,0.2322,0.2355
Tu,21/1/2020,0.2347,0.2415,0.2299,0.2377
Mo,20/1/2020,0.2327,0.2364,0.2241,0.2347
,,0,,,
Fr,17/1/2020,0.2284,0.2441,0.2264,0.2397
Th,16/1/2020,0.2366,0.2369,0.2223,0.2284
We,15/1/2020,0.2343,0.2434,0.2262,0.2366
Tu,14/1/2020,0.212,0.245,0.2112,0.2343
Mo,13/1/2020,0.2126,0.2176,0.2097,0.212
,,0,,,
Fr,10/1/2020,0.202,0.2115,0.2004,0.2093
Th,9/1/2020,0.206,0.2091,0.2013,0.202
We,8/1/2020,0.2137,0.2189,0.2032,0.206
Tu,7/1/2020,0.2184,0.2255,0.2075,0.2137
Mo,6/1/2020,0.1972,0.2237,0.1937,0.2184
,,0,,,
Fr,3/1/2020,0.1873,0.1949,0.1843,0.1918
Th,2/1/2020,0.194,0.1947,0.1856,0.1873
We,1/1/2020,0.1906,0.1967,0.1904,0.1935
Tu,31/12/2019,0.1926,0.1954,0.1894,0.1906
Mo,30/12/2019,0.1958,0.1987,0.1914,0.1926
,,0,,,
Fr,27/12/2019,0.1899,0.1921,0.1851,0.1889
Th,26/12/2019,0.1894,0.1944,0.1871,0.1899
We,25/12/2019,0.1907,0.195,0.1864,0.1894
Tu,24/12/2019,0.1913,0.194,0.1876,0.1907
Mo,23/12/2019,0.1945,0.1997,0.1907,0.1913
,,0,,,
Fr,20/12/2019,0.1887,0.1967,0.1838,0.1944
Th,19/12/2019,0.1956,0.1996,0.1852,0.1887
We,18/12/2019,0.184,0.2005,0.1751,0.1959
Tu,17/12/2019,0.2049,0.2086,0.1786,0.184
Mo,16/12/2019,0.2168,0.2228,0.2029,0.2049
,,0,,,
Fr,13/12/2019,0.2196,0.225,0.2152,0.22
Th,12/12/2019,0.2207,0.2244,0.2172,0.2196
We,11/12/2019,0.2211,0.2253,0.2202,0.2207
Tu,10/12/2019,0.2237,0.2261,0.2191,0.2211
Mo,9/12/2019,0.2314,0.2335,0.2212,0.2238
,,0,,,
Fr,6/12/2019,0.2227,0.2278,0.2196,0.225
Th,5/12/2019,0.2155,0.2265,0.2122,0.2227
We,4/12/2019,0.22,0.2265,0.21,0.2155
Tu,3/12/2019,0.2201,0.2245,0.2181,0.22
Mo,2/12/2019,0.225,0.2271,0.2175,0.2206
,,0,,,
Fr,29/11/2019,0.2267,0.2332,0.223,0.2289
Th,28/11/2019,0.2257,0.2315,0.2241,0.2268
We,27/11/2019,0.22,0.2303,0.2131,0.2257
Tu,26/11/2019,0.2209,0.2243,0.2138,0.2195
Mo,25/11/2019,0.2269,0.2313,0.2019,0.221
,,0,,,
Fr,22/11/2019,0.242,0.2464,0.2225,0.2322
Th,21/11/2019,0.25,0.2554,0.2361,0.242
We,20/11/2019,0.2508,0.2588,0.2478,0.25
Tu,19/11/2019,0.2543,0.2571,0.2434,0.2508
Mo,18/11/2019,0.2648,0.2665,0.2407,0.2543
,,0,,,
Fr,15/11/2019,0.2673,0.272,0.2528,0.2599
Th,14/11/2019,0.272,0.2747,0.2633,0.2673
We,13/11/2019,0.2712,0.2758,0.2702,0.2727
Tu,12/11/2019,0.2743,0.2766,0.2672,0.2712
Mo,11/11/2019,0.2823,0.284,0.2696,0.2743
,,0,,,
Fr,8/11/2019,0.2902,0.2915,0.2708,0.2778
Th,7/11/2019,0.3083,0.3148,0.2752,0.2902
We,6/11/2019,0.3019,0.3099,0.2972,0.3083
Tu,5/11/2019,0.2965,0.3054,0.296,0.3019
Mo,4/11/2019,0.29,0.2981,0.289,0.2966
,,0,,,
Fr,1/11/2019,0.295,0.2954,0.2856,0.2914
Th,31/10/2019,0.2961,0.2991,0.2887,0.295
We,30/10/2019,0.3015,0.3065,0.2908,0.2961
Tu,29/10/2019,0.2979,0.3099,0.2947,0.3015
Mo,28/10/2019,0.2996,0.3055,0.2941,0.2979
,,0,,,
Fr,25/10/2019,0.2791,0.3087,0.2753,0.2966
Th,24/10/2019,0.2683,0.2808,0.2666,0.2791
We,23/10/2019,0.2948,0.2972,0.2502,0.2683
Tu,22/10/2019,0.2926,0.3034,0.2914,0.2948
Mo,21/10/2019,0.2928,0.2994,0.2887,0.2926
,,0,,,
Fr,18/10/2019,0.2986,0.3037,0.2845,0.2932
Th,17/10/2019,0.2839,0.3041,0.2802,0.2986
We,16/10/2019,0.2871,0.2924,0.2788,0.2839
Tu,15/10/2019,0.2896,0.2998,0.2834,0.2871
Mo,14/10/2019,0.2795,0.2952,0.2739,0.2896
,,0,,,
Fr,11/10/2019,0.2736,0.276,0.2653,0.2698
Th,10/10/2019,0.2829,0.2832,0.2659,0.2736
We,9/10/2019,0.2747,0.2883,0.2736,0.2829
Tu,8/10/2019,0.2752,0.2862,0.2713,0.2747
Mo,7/10/2019,0.2547,0.2821,0.2517,0.2752
,,0,,,
Fr,4/10/2019,0.2458,0.2576,0.2452,0.2539
Th,3/10/2019,0.2503,0.255,0.2424,0.2458
We,2/10/2019,0.2504,0.2555,0.2448,0.2503
